[Sun Sep 18 17:34:07 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:34:16 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:34:16 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 1 | Fancy Blocks
[Sun Sep 18 17:34:16 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:34:16 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:34:27 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:34:27 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 1 | wood Blocks
[Sun Sep 18 17:34:27 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:34:27 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:34:32 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 0 |  
[Sun Sep 18 17:34:32 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 1 | Garden Blocks
[Sun Sep 18 17:34:32 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 18 17:34:32 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:34:46 EEST 2022] MihiBlu | Location: X: -73 Y: 65 Z: -4 | Line: 0 | 
[Sun Sep 18 17:34:46 EEST 2022] MihiBlu | Location: X: -73 Y: 65 Z: -4 | Line: 1 | Useful Blocks
[Sun Sep 18 17:34:46 EEST 2022] MihiBlu | Location: X: -73 Y: 65 Z: -4 | Line: 2 | 
[Sun Sep 18 17:34:46 EEST 2022] MihiBlu | Location: X: -73 Y: 65 Z: -4 | Line: 3 | 
[Sun Sep 18 17:34:51 EEST 2022] MihiBlu | Location: X: -73 Y: 64 Z: -4 | Line: 0 | 
[Sun Sep 18 17:34:51 EEST 2022] MihiBlu | Location: X: -73 Y: 64 Z: -4 | Line: 1 | Redstone
[Sun Sep 18 17:34:51 EEST 2022] MihiBlu | Location: X: -73 Y: 64 Z: -4 | Line: 2 | 
[Sun Sep 18 17:34:51 EEST 2022] MihiBlu | Location: X: -73 Y: 64 Z: -4 | Line: 3 | 
[Sun Sep 18 17:35:05 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -6 | Line: 0 | 
[Sun Sep 18 17:35:05 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -6 | Line: 1 | Farms
[Sun Sep 18 17:35:05 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -6 | Line: 2 | 
[Sun Sep 18 17:35:05 EEST 2022] MihiBlu | Location: X: -67 Y: 65 Z: -6 | Line: 3 | 
[Sun Sep 18 17:35:21 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -6 | Line: 0 | 
[Sun Sep 18 17:35:21 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -6 | Line: 1 | Mob Drops
[Sun Sep 18 17:35:21 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -6 | Line: 2 | 
[Sun Sep 18 17:35:21 EEST 2022] MihiBlu | Location: X: -67 Y: 64 Z: -6 | Line: 3 | 
[Sun Sep 18 17:35:36 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -7 | Line: 0 | 
[Sun Sep 18 17:35:36 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -7 | Line: 1 | Miscellaunes
[Sun Sep 18 17:35:36 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -7 | Line: 2 | 
[Sun Sep 18 17:35:36 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -7 | Line: 3 | 
[Sun Sep 18 17:52:57 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 0 | 
[Sun Sep 18 17:52:57 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 1 | For othes
[Sun Sep 18 17:52:57 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 2 | 
[Sun Sep 18 17:52:57 EEST 2022] MihiBlu | Location: X: -71 Y: 65 Z: -6 | Line: 3 | 
[Wed Sep 21 18:37:46 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 0 | 
[Wed Sep 21 18:37:46 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 1 | Primary Blocks
[Wed Sep 21 18:37:46 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 2 | 
[Wed Sep 21 18:37:46 EEST 2022] MihiBlu | Location: X: -65 Y: 65 Z: -5 | Line: 3 | 
[Wed Sep 21 18:38:10 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 0 | Shop
[Wed Sep 21 18:38:10 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 1 | 
[Wed Sep 21 18:38:10 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 2 | 
[Wed Sep 21 18:38:10 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 3 | 
[Wed Sep 21 18:41:42 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 0 | 
[Wed Sep 21 18:41:42 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 1 | Peculair Blocks
[Wed Sep 21 18:41:42 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 2 | 
[Wed Sep 21 18:41:42 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -4 | Line: 3 | 
[Wed Sep 21 18:44:32 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 0 | Shop
[Wed Sep 21 18:44:32 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 1 | 
[Wed Sep 21 18:44:32 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 2 | 
